Record_ID,HTS_Code,Product_Description,Company,Country_of_Origin,Country_Code,Material_Cost_USD,Tariff_Rate_Percent,Tariff_Amount_USD,MPF_USD,Other_Fees_USD,Landed_Cost_USD,Material_Composition,Primary_Material,Quantity,Unit_Price_USD,Total_Value_USD,Import_Date,Port_of_Entry,FTA_Applicable,Alternative_Country,Potential_Savings_Percent,Potential_Savings_USD,Risk_Level,Compliance_Status,Last_Updated
TR000011,6403.91.6030,Footwear with outer soles of rubber,BMW Group,Indonesia,ID,138.32,11.04,15.27,0.48,0.31,154.38,"67.8% Rubber, 32.2% Steel",Rubber,1116,138.32,154365.34,2024-10-02,"Houston, TX",KORUS,Germany,7.84,12098.04,High,Under Review,2025-07-18 11:51:22
TR000012,8305.20.0000,Staples in strips,Oracle Corporation,Malaysia,MY,144.2,9.66,13.93,0.5,2.13,160.76,"89.9% Rubber, 10.1% Glass",Rubber,978,144.2,141022.92,2023-12-23,"New York, NY",No,India,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000013,6806.10.0000,"Slag wool, rock wool and similar mineral wools",LG Electronics,Brazil,BR,42.5,15.38,6.54,0.15,1.4,50.59,"65.6% Glass, 34.4% Polyester",Glass,2162,42.5,91884.37,2023-07-21,"Miami, FL",KORUS,Italy,11.28,10363.38,High,Compliant,2025-07-18 11:51:22
TR000014,3402.20.0000,Cleaning preparations put up for retail sale,Mercedes-Benz Group,China,CN,25.21,17.31,4.36,0.09,0.14,29.8,"76.9% Polyester, 23.1% Glass",Polyester,2127,25.21,53616.16,2023-11-30,"Houston, TX",No,Thailand,8.01,4296.93,Medium,Under Review,2025-07-18 11:51:22
TR000015,9401.80.4016,Seats with wooden frames,IBM Corporation,Germany,DE,118.63,4.47,5.31,0.41,1.55,125.9,"97.1% Cotton, 2.9% Aluminum",Cotton,6284,118.63,745478.73,2024-09-07,"Long Beach, CA",KORUS,India,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000016,6217.10.1000,Accessories of apparel,Best Buy Co.,United Kingdom,GB,137.29,0.99,1.35,0.48,2.14,141.26,"78.0% Glass, 22.0% Plastic",Glass,3204,137.29,439865.85,2023-09-17,"Seattle, WA",No,Japan,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000017,7323.10.0000,Iron or steel wool; pot scourers and scouring pads,Costco Wholesale,Bangladesh,BD,49.11,13.14,6.46,0.17,1.85,57.59,"85.5% Nylon, 14.5% Cotton",Nylon,8254,49.11,405394.44,2023-08-22,"Seattle, WA",No,Malaysia,5.24,21261.06,Low,Compliant,2025-07-18 11:51:22
TR000018,6505.00.6045,"Hats and other headgear, knitted or crocheted",Walmart Inc.,Mexico,MX,84.41,1.28,1.08,0.29,1.02,86.8,"98.9% Polyester, 1.1% Silicone",Polyester,3940,84.41,332559.22,2024-05-20,"Long Beach, CA",Yes,South Korea,0.0,0.0,High,Under Review,2025-07-18 11:51:22
TR000019,3402.20.0000,Cleaning preparations put up for retail sale,KPMG,South Korea,KR,38.78,4.83,1.87,0.13,0.2,40.99,"88.4% Steel, 11.6% Glass",Steel,6077,38.78,235679.52,2024-04-30,"Miami, FL",No,Japan,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000020,9507.30.2000,Fishing reels,Microsoft Corporation,Philippines,PH,4.3,9.77,0.42,0.01,0.36,5.09,"61.3% Leather, 38.7% Aluminum",Leather,2890,4.3,12427.46,2024-04-08,"Norfolk, VA",No,Malaysia,1.87,232.2,Low,Compliant,2025-07-18 11:51:22
TR000021,7323.93.0060,"Table, kitchen or other household articles of stainless steel",Adidas AG,China,CN,104.48,20.47,21.38,0.36,0.43,126.66,"84.2% Glass, 15.8% Silicone",Glass,1778,104.48,185764.83,2023-12-04,"Charleston, SC",No,India,7.67,14242.69,High,Compliant,2025-07-18 11:51:22
TR000022,7013.49.2000,Glassware for table or kitchen use,Walmart Inc.,Mexico,MX,113.45,0.05,0.06,0.39,0.65,114.55,"63.1% Cotton, 36.9% Leather",Cotton,3257,113.45,369522.59,2024-09-23,"Charleston, SC",Yes,Philippines,0.0,0.0,High,Under Review,2025-07-18 11:51:22
TR000023,8528.72.6400,Reception apparatus for television,IKEA,France,FR,44.7,4.09,1.83,0.15,0.35,47.03,"78.3% Rubber, 21.7% Silicone",Rubber,3727,44.7,166586.6,2024-07-22,"Norfolk, VA",CPTPP,Taiwan,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000024,8302.30.3000,"Other mountings, fittings and similar articles",Dell Technologies,Brazil,BR,62.77,18.09,11.36,0.22,2.22,76.56,"73.0% Aluminum, 27.0% Nylon",Aluminum,5692,62.77,357276.81,2024-03-25,"Norfolk, VA",No,India,5.29,18911.59,Low,Under Review,2025-07-18 11:51:22
TR000025,3924.90.5600,"Other household articles and toilet articles, of plastics",Levi Strauss & Co.,Bangladesh,BD,34.58,12.1,4.18,0.12,1.13,40.0,"92.7% Polyester, 7.3% Steel",Polyester,5964,34.58,206213.09,2023-10-09,"Charleston, SC",KORUS,Italy,8.0,16488.58,Low,Under Review,2025-07-18 11:51:22
TR000026,4202.12.8020,"Trunks, suitcases and vanity cases with outer surface of plastics",Walmart Inc.,Indonesia,ID,46.06,9.94,4.58,0.16,0.5,51.3,"81.4% Nylon, 18.6% Plastic",Nylon,4513,46.06,207890.43,2024-10-16,"Norfolk, VA",KORUS,India,0.0,0.0,Low,Non-Compliant,2025-07-18 11:51:22
TR000027,4015.19.0510,"Disposable gloves of vulcanized rubber, nitrile",Dell Technologies,Mexico,MX,50.97,1.31,0.67,0.18,2.36,54.18,"72.9% Plastic, 27.1% Rubber",Plastic,1595,50.97,81302.68,2023-12-29,"Norfolk, VA",Yes,United Kingdom,0.0,0.0,Low,Under Review,2025-07-18 11:51:22
TR000028,6109.10.0040,"T-shirts, singlets and other vests, of cotton",LG Electronics,South Korea,KR,105.6,6.12,6.46,0.37,0.97,113.4,"98.9% Leather, 1.1% Cotton",Leather,1391,105.6,146891.46,2025-02-26,"Houston, TX",CPTPP,Bangladesh,0.0,0.0,Medium,Non-Compliant,2025-07-18 11:51:22
TR000029,8302.30.3000,"Other mountings, fittings and similar articles",Unilever,Italy,IT,45.48,4.06,1.85,0.16,0.78,48.27,"61.5% Rubber, 38.5% Steel",Rubber,4837,45.48,219993.08,2023-09-17,"Charleston, SC",No,Canada,4.06,8938.1,High,Non-Compliant,2025-07-18 11:51:22
TR000030,6109.10.0040,"T-shirts, singlets and other vests, of cotton",Bain & Company,Bangladesh,BD,61.95,10.15,6.29,0.21,0.18,68.63,"73.8% Cotton, 26.2% Polyester",Cotton,6628,61.95,410604.82,2024-08-22,"Norfolk, VA",KORUS,France,6.65,27317.5,Low,Compliant,2025-07-18 11:51:22
TR000031,8543.70.9860,Other electrical machines and apparatus,KPMG,Mexico,MX,73.67,0.95,0.7,0.26,2.47,77.09,"69.7% Rubber, 30.3% Polyester",Rubber,5031,73.67,370649.81,2025-01-29,"New York, NY",Yes,Indonesia,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR000032,6505.00.6045,"Hats and other headgear, knitted or crocheted",Ernst & Young,Malaysia,MY,12.59,7.06,0.89,0.04,0.99,14.51,"69.7% Glass, 30.3% Cotton",Glass,4489,12.59,56505.61,2024-01-07,"New York, NY",CPTPP,Canada,7.06,3987.6,High,Non-Compliant,2025-07-18 11:51:22
TR000033,9018.32.0000,Tubular metal needles,IKEA,Indonesia,ID,95.21,13.41,12.76,0.33,1.39,109.69,"63.6% Plastic, 36.4% Leather",Plastic,8900,95.21,847392.96,2023-12-20,"Houston, TX",CPTPP,Thailand,4.11,34790.47,High,Compliant,2025-07-18 11:51:22
TR000034,3923.30.0080,"Carboys, bottles, flasks and similar articles",Intel Corporation,Bangladesh,BD,23.03,10.7,2.46,0.08,1.32,26.9,"87.8% Polyester, 12.2% Cotton",Polyester,759,23.03,17481.5,2023-10-26,"New York, NY",No,Japan,5.8,1013.28,Low,Non-Compliant,2025-07-18 11:51:22
TR000035,3304.30.0000,Manicure or pedicure preparations,IKEA,Thailand,TH,106.82,7.11,7.59,0.37,2.04,116.82,"73.9% Aluminum, 26.1% Polyester",Aluminum,1834,106.82,195902.11,2023-12-21,"Seattle, WA",No,Taiwan,0.0,0.0,Medium,Non-Compliant,2025-07-18 11:51:22
TR000036,9507.30.2000,Fishing reels,McKesson Corporation,Philippines,PH,26.57,6.84,1.82,0.09,1.76,30.23,"75.5% Glass, 24.5% Silicone",Glass,2485,26.57,66020.94,2023-10-22,"Houston, TX",No,Thailand,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR000037,3926.20.4000,"Articles of apparel and clothing accessories, of plastics",Unilever,France,FR,110.41,4.46,4.93,0.38,0.6,116.33,"81.7% Rubber, 18.3% Aluminum",Rubber,362,110.41,39970.16,2024-01-02,"Charleston, SC",No,Taiwan,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000038,8543.70.9860,Other electrical machines and apparatus,Target Corporation,Italy,IT,99.17,5.95,5.9,0.34,2.06,107.48,"82.2% Steel, 17.8% Cotton",Steel,2149,99.17,213111.2,2024-12-11,"Miami, FL",No,Vietnam,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000039,9017.80.0000,"Other drawing, marking-out or mathematical calculating instruments",BMW Group,Thailand,TH,28.71,11.3,3.24,0.1,0.77,32.83,"88.0% Steel, 12.0% Rubber",Steel,2355,28.71,67616.08,2024-05-14,"Norfolk, VA",KORUS,Germany,8.1,5477.56,High,Compliant,2025-07-18 11:51:22
TR000040,7326.90.8588,Other articles of iron or steel,Nike Inc.,Mexico,MX,134.62,2.4,3.24,0.47,2.23,140.55,"91.2% Rubber, 8.8% Glass",Rubber,1748,134.62,235312.24,2025-06-08,"Seattle, WA",Yes,Canada,2.4,5658.89,High,Compliant,2025-07-18 11:51:22
TR000041,7117.11.0000,Cuff links and studs of base metal,Samsung Electronics,Thailand,TH,1.26,9.89,0.12,0.0,0.49,1.87,"81.9% Cotton, 18.1% Aluminum",Cotton,2969,1.26,3731.16,2024-09-05,"Los Angeles, CA",No,Malaysia,1.99,74.11,High,Compliant,2025-07-18 11:51:22
TR000042,8302.30.3000,"Other mountings, fittings and similar articles",Dell Technologies,India,IN,67.54,11.37,7.68,0.23,2.49,77.94,"67.0% Aluminum, 33.0% Glass",Aluminum,5799,67.54,391661.03,2024-10-21,"Long Beach, CA",No,Taiwan,0.0,0.0,Low,Under Review,2025-07-18 11:51:22
TR000043,8467.21.0030,"Drills with self-contained electric motor, cordless",Ferrari N.V.,South Korea,KR,112.1,5.2,5.83,0.39,1.66,119.97,"94.0% Aluminum, 6.0% Nylon",Aluminum,4596,112.1,515213.74,2024-07-20,"Charleston, SC",No,Taiwan,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000044,6116.10.1700,"Gloves, mittens and mitts, impregnated with plastics",Levi Strauss & Co.,Vietnam,VN,46.56,6.24,2.9,0.16,1.4,51.02,"80.4% Nylon, 19.6% Plastic",Nylon,3546,46.56,165084.34,2023-12-31,"Norfolk, VA",No,Bangladesh,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000045,8467.21.0030,"Drills with self-contained electric motor, cordless",Johnson & Johnson,Taiwan,TW,146.84,12.48,18.33,0.51,1.27,166.95,"96.2% Leather, 3.8% Aluminum",Leather,325,146.84,47724.46,2025-06-03,"New York, NY",No,Turkey,6.68,3187.62,High,Non-Compliant,2025-07-18 11:51:22
TR000046,9404.90.9505,"Pillows, cushions and similar articles",Costco Wholesale,France,FR,52.84,0.5,0.27,0.18,1.65,54.93,"86.8% Aluminum, 13.2% Cotton",Aluminum,5700,52.84,301169.32,2023-11-02,"Houston, TX",No,Canada,0.5,1516.11,Medium,Compliant,2025-07-18 11:51:22
TR000047,3926.20.4000,"Articles of apparel and clothing accessories, of plastics",Volkswagen AG,Canada,CA,29.69,0.0,0.0,0.1,1.83,31.63,"71.2% Leather, 28.8% Aluminum",Leather,4742,29.69,140784.42,2024-05-02,"Seattle, WA",Yes,Brazil,0.0,0.0,High,Non-Compliant,2025-07-18 11:51:22
TR000048,7326.90.8588,Other articles of iron or steel,Procter & Gamble,Turkey,TR,42.29,5.78,2.44,0.15,2.22,47.1,"89.9% Glass, 10.1% Plastic",Glass,1160,42.29,49061.35,2024-04-30,"Los Angeles, CA",CPTPP,China,0.0,0.0,High,Non-Compliant,2025-07-18 11:51:22
TR000049,6806.10.0000,"Slag wool, rock wool and similar mineral wools",Walmart Inc.,Taiwan,TW,139.28,11.78,16.41,0.48,1.13,157.3,"98.7% Aluminum, 1.3% Nylon",Aluminum,3270,139.28,455457.45,2023-12-15,"Seattle, WA",KORUS,Pakistan,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000050,3924.90.5600,"Other household articles and toilet articles, of plastics",Ford Motor Company,Philippines,PH,40.64,6.3,2.56,0.14,1.26,44.6,"74.9% Silicone, 25.1% Steel",Silicone,5954,40.64,241952.65,2023-11-30,"Miami, FL",No,Brazil,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000051,3402.20.0000,Cleaning preparations put up for retail sale,Ford Motor Company,Thailand,TH,126.71,8.11,10.27,0.44,2.33,139.75,"62.8% Plastic, 37.2% Nylon",Plastic,7555,126.71,957293.03,2024-07-04,"Miami, FL",No,Canada,8.11,77600.14,Medium,Under Review,2025-07-18 11:51:22
TR000052,3402.20.0000,Cleaning preparations put up for retail sale,Under Armour Inc.,China,CN,38.5,12.9,4.97,0.13,0.81,44.41,"72.9% Steel, 27.1% Aluminum",Steel,8196,38.5,315525.23,2025-07-04,"Miami, FL",KORUS,Pakistan,0.0,0.0,Medium,Under Review,2025-07-18 11:51:22
TR000053,8708.29.5090,Other parts and accessories of motor vehicles,Porsche AG,Taiwan,TW,20.92,14.18,2.97,0.07,1.8,25.77,"82.1% Silicone, 17.9% Nylon",Silicone,5901,20.92,123477.77,2025-06-18,"Long Beach, CA",No,Bangladesh,0.68,838.67,High,Non-Compliant,2025-07-18 11:51:22
TR000054,7323.93.0060,"Table, kitchen or other household articles of stainless steel",Adidas AG,Mexico,MX,130.13,3.13,4.07,0.45,2.29,136.94,"80.5% Plastic, 19.5% Aluminum",Plastic,8092,130.13,1052990.21,2025-01-02,"Charleston, SC",Yes,South Korea,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000055,6302.60.0020,Toilet linen and kitchen linen of cotton,Intel Corporation,Italy,IT,94.37,5.13,4.84,0.33,0.57,100.1,"62.8% Glass, 37.2% Polyester",Glass,8273,94.37,780724.79,2024-09-13,"Miami, FL",KORUS,Taiwan,0.0,0.0,High,Under Review,2025-07-18 11:51:22
TR000056,9503.00.0071,"Tricycles, scooters, pedal cars and similar wheeled toys",General Motors,Turkey,TR,51.03,6.26,3.2,0.18,1.0,55.41,"63.8% Plastic, 36.2% Rubber",Plastic,953,51.03,48631.85,2025-02-09,"Los Angeles, CA",No,Germany,3.06,1490.37,Low,Compliant,2025-07-18 11:51:22
TR000057,7616.99.1000,Other articles of aluminum,McKinsey & Company,United Kingdom,GB,49.56,3.15,1.56,0.17,0.47,51.76,"99.3% Nylon, 0.7% Cotton",Nylon,6393,49.56,316829.56,2023-11-30,"Charleston, SC",No,Germany,0.0,0.0,Low,Under Review,2025-07-18 11:51:22
TR000058,8302.30.3000,"Other mountings, fittings and similar articles",Mercedes-Benz Group,United Kingdom,GB,6.08,1.97,0.12,0.02,2.07,8.3,"74.4% Silicone, 25.6% Aluminum",Silicone,2591,6.08,15762.49,2023-12-08,"Norfolk, VA",KORUS,France,0.0,0.0,Medium,Non-Compliant,2025-07-18 11:51:22
TR000059,8708.29.5090,Other parts and accessories of motor vehicles,Procter & Gamble,South Korea,KR,49.33,6.86,3.38,0.17,2.09,54.98,"70.9% Nylon, 29.1% Silicone",Nylon,104,49.33,5130.77,2024-12-04,"Charleston, SC",No,France,3.36,172.41,Medium,Compliant,2025-07-18 11:51:22
TR000060,9505.10.4000,Christmas articles,IKEA,Germany,DE,29.56,5.62,1.66,0.1,1.09,32.41,"88.0% Polyester, 12.0% Aluminum",Polyester,7179,29.56,212209.91,2023-08-03,"Houston, TX",No,Bangladesh,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000061,8517.12.0020,Telephones for cellular networks,Nissan Motor Co.,Thailand,TH,109.05,9.0,9.81,0.38,2.44,121.68,"80.7% Plastic, 19.3% Nylon",Plastic,1793,109.05,195527.82,2024-01-26,"Long Beach, CA",No,Mexico,6.9,13486.59,Medium,Under Review,2025-07-18 11:51:22
TR000062,7323.93.0060,"Table, kitchen or other household articles of stainless steel",Apple Inc.,France,FR,65.31,3.29,2.15,0.23,1.89,69.57,"70.0% Nylon, 30.0% Leather",Nylon,8408,65.31,549137.83,2024-07-09,"Charleston, SC",CPTPP,Turkey,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000063,8310.00.0000,"Sign-plates, name-plates, address-plates and similar plates",McKesson Corporation,Japan,JP,12.59,3.93,0.49,0.04,1.13,14.26,"87.5% Leather, 12.5% Silicone",Leather,1764,12.59,22209.66,2023-11-20,"Seattle, WA",No,Turkey,0.0,0.0,Medium,Non-Compliant,2025-07-18 11:51:22
TR000064,6506.10.6000,Safety headgear,Oracle Corporation,France,FR,37.91,2.83,1.07,0.13,1.42,40.53,"88.6% Glass, 11.4% Plastic",Glass,7504,37.91,284486.49,2024-03-12,"Charleston, SC",No,Brazil,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR000065,6116.10.1700,"Gloves, mittens and mitts, impregnated with plastics",Intel Corporation,Bangladesh,BD,42.35,12.86,5.45,0.15,2.39,50.34,"89.5% Leather, 10.5% Rubber",Leather,9762,42.35,413421.85,2024-03-05,"Long Beach, CA",KORUS,Japan,7.96,32926.18,Low,Under Review,2025-07-18 11:51:22
TR000066,8536.69.4000,Plugs and sockets for coaxial cables,General Motors,Japan,JP,7.63,8.21,0.63,0.03,1.46,9.75,"66.3% Cotton, 33.7% Rubber",Cotton,7353,7.63,56129.57,2023-12-04,"Miami, FL",No,Germany,5.01,2812.61,Low,Compliant,2025-07-18 11:51:22
TR000067,3304.30.0000,Manicure or pedicure preparations,Intel Corporation,Turkey,TR,2.65,4.87,0.13,0.01,0.38,3.17,"61.8% Aluminum, 38.2% Plastic",Aluminum,2241,2.65,5942.74,2024-04-22,"Seattle, WA",No,Brazil,0.0,0.0,Medium,Under Review,2025-07-18 11:51:22
TR000068,3304.30.0000,Manicure or pedicure preparations,BMW Group,Mexico,MX,71.39,2.99,2.13,0.25,0.33,74.1,"79.7% Nylon, 20.3% Cotton",Nylon,9927,71.39,708678.48,2025-04-22,"Los Angeles, CA",Yes,Turkey,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000069,9017.80.0000,"Other drawing, marking-out or mathematical calculating instruments",Levi Strauss & Co.,Vietnam,VN,26.39,10.05,2.65,0.09,1.14,30.28,"75.9% Cotton, 24.1% Steel",Cotton,6765,26.39,178553.24,2025-03-02,"Los Angeles, CA",KORUS,South Korea,3.35,5980.23,Low,Compliant,2025-07-18 11:51:22
TR000070,6211.32.0040,"Track suits, ski suits and swimwear of cotton",Intel Corporation,India,IN,81.14,12.8,10.39,0.28,1.74,93.55,"84.6% Glass, 15.4% Plastic",Glass,8627,81.14,699968.28,2024-10-07,"Houston, TX",No,Taiwan,1.4,9824.95,High,Non-Compliant,2025-07-18 11:51:22
TR000071,6506.10.6000,Safety headgear,Home Depot,India,IN,96.54,14.31,13.82,0.33,0.16,110.86,"83.4% Rubber, 16.6% Aluminum",Rubber,951,96.54,91811.14,2025-06-26,"Los Angeles, CA",No,Canada,14.31,13139.89,High,Under Review,2025-07-18 11:51:22
TR000072,9404.90.9505,"Pillows, cushions and similar articles",Home Depot,Taiwan,TW,96.67,7.61,7.35,0.33,1.2,105.56,"81.8% Polyester, 18.2% Steel",Polyester,5832,96.67,563788.71,2024-11-27,"Houston, TX",KORUS,India,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR000073,4016.99.6000,Other articles of vulcanized rubber,Walmart Inc.,France,FR,94.08,6.06,5.7,0.33,2.07,102.18,"86.1% Leather, 13.9% Aluminum",Leather,1166,94.08,109694.93,2024-09-03,"Seattle, WA",No,Brazil,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR000074,7117.11.0000,Cuff links and studs of base metal,HP Inc.,Pakistan,PK,11.14,14.66,1.63,0.04,0.87,13.68,"93.8% Nylon, 6.2% Rubber",Nylon,9917,11.14,110502.19,2025-04-19,"Long Beach, CA",KORUS,Indonesia,4.06,4488.58,High,Non-Compliant,2025-07-18 11:51:22
TR000075,9017.80.0000,"Other drawing, marking-out or mathematical calculating instruments",Volkswagen AG,Italy,IT,51.42,2.85,1.47,0.18,0.73,53.8,"79.8% Nylon, 20.2% Leather",Nylon,925,51.42,47566.62,2025-07-06,"Houston, TX",No,Malaysia,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000076,8708.29.5090,Other parts and accessories of motor vehicles,PepsiCo Inc.,Malaysia,MY,131.68,9.8,12.91,0.46,1.86,146.91,"92.1% Nylon, 7.9% Leather",Nylon,8967,131.68,1180793.09,2023-10-25,"Los Angeles, CA",CPTPP,Pakistan,0.0,0.0,Low,Under Review,2025-07-18 11:51:22
TR000077,8528.72.6400,Reception apparatus for television,Johnson & Johnson,Pakistan,PK,27.03,17.01,4.6,0.09,1.9,33.62,"92.3% Steel, 7.7% Leather",Steel,1222,27.03,33027.25,2023-10-15,"Houston, TX",KORUS,China,1.81,596.18,High,Compliant,2025-07-18 11:51:22
TR000078,9403.60.8081,Wooden furniture for bedrooms,McKinsey & Company,Malaysia,MY,116.57,4.32,5.04,0.4,0.92,122.94,"97.2% Leather, 2.8% Silicone",Leather,3540,116.57,412671.03,2024-09-04,"Charleston, SC",CPTPP,United Kingdom,1.52,6291.82,Medium,Compliant,2025-07-18 11:51:22
TR000079,9403.60.8081,Wooden furniture for bedrooms,Nissan Motor Co.,Philippines,PH,102.14,5.76,5.88,0.35,1.88,110.25,"69.5% Plastic, 30.5% Nylon",Plastic,6017,102.14,614557.09,2023-10-11,"Charleston, SC",No,Canada,5.76,35391.48,Medium,Under Review,2025-07-18 11:51:22
TR000080,3402.20.0000,Cleaning preparations put up for retail sale,BMW Group,United Kingdom,GB,124.06,2.82,3.5,0.43,0.87,128.86,"95.8% Aluminum, 4.2% Nylon",Aluminum,495,124.06,61407.42,2024-07-01,"Seattle, WA",No,Germany,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR000081,3304.30.0000,Manicure or pedicure preparations,Coca-Cola Company,Malaysia,MY,143.8,9.76,14.04,0.5,2.13,160.47,"74.2% Polyester, 25.8% Steel",Polyester,817,143.8,117486.2,2023-08-25,"New York, NY",KORUS,South Korea,3.06,3597.27,Low,Compliant,2025-07-18 11:51:22
TR000082,6506.10.6000,Safety headgear,KPMG,Italy,IT,74.21,3.7,2.75,0.26,0.3,77.51,"63.7% Steel, 36.3% Glass",Steel,4591,74.21,340685.88,2023-09-19,"Houston, TX",No,Taiwan,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR000083,8305.20.0000,Staples in strips,Hyundai Motor Company,South Korea,KR,49.64,10.75,5.34,0.17,1.71,56.86,"90.1% Steel, 9.9% Cotton",Steel,1267,49.64,62887.99,2025-07-17,"Long Beach, CA",No,Vietnam,2.25,1414.63,Low,Non-Compliant,2025-07-18 11:51:22
TR000084,6307.90.9889,"Other made up articles, including dress patterns",McKesson Corporation,Thailand,TH,82.65,7.9,6.53,0.29,1.16,90.63,"95.5% Nylon, 4.5% Polyester",Nylon,4430,82.65,366159.74,2023-10-19,"Houston, TX",CPTPP,United Kingdom,5.1,18680.4,Medium,Compliant,2025-07-18 11:51:22
TR000085,4202.12.8020,"Trunks, suitcases and vanity cases with outer surface of plastics",Costco Wholesale,Vietnam,VN,106.02,8.48,8.99,0.37,2.42,117.81,"87.5% Steel, 12.5% Silicone",Steel,1053,106.02,111640.96,2024-10-22,"New York, NY",CPTPP,United Kingdom,5.68,6343.85,Low,Non-Compliant,2025-07-18 11:51:22
